ORG_TYPE_IDENT,ORG_TYPE_ID,DESCRIPTION,RECORD_CREATION_DATE,DATABASE_NAME,EXTERNAL_LOCATION,STREAM_LOAD_DATETIME
5,5,Template,1/22/21 8:31,hstm_bi_hlcdb9,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
-99,0,Unspecified,1/1/00 0:00,hstm_bi_hlcdb18,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,3/1/18 12:23,hstm_bi_hlcdb18,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,3/1/18 12:23,hstm_bi_hlcdb18,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,3/1/18 12:23,hstm_bi_hlcdb18,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,3/1/18 12:23,hstm_bi_hlcdb18,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:31,hstm_bi_hlcdb18,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:18,hstm_bi_hlcdb4,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:18,hstm_bi_hlcdb4,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:18,hstm_bi_hlcdb4,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:18,hstm_bi_hlcdb4,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:31,hstm_bi_hlcdb4,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:28,hstm_bi_learning,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:28,hstm_bi_learning,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:28,hstm_bi_learning,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:28,hstm_bi_learning,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:32,hstm_bi_learning,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:19,hstm_bi_hlcdb7,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:19,hstm_bi_hlcdb7,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:19,hstm_bi_hlcdb7,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:19,hstm_bi_hlcdb7,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:31,hstm_bi_hlcdb7,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:16,hstm_bi_chi,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:16,hstm_bi_chi,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:16,hstm_bi_chi,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:16,hstm_bi_chi,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:30,hstm_bi_chi,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:20,hstm_bi_hlcdb8,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:20,hstm_bi_hlcdb8,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:20,hstm_bi_hlcdb8,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:20,hstm_bi_hlcdb8,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:32,hstm_bi_hlcdb8,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:18,hstm_bi_hlcdb5,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:18,hstm_bi_hlcdb5,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:18,hstm_bi_hlcdb5,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:18,hstm_bi_hlcdb5,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:30,hstm_bi_hlcdb5,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:21,hstm_bi_hlcdb11,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:21,hstm_bi_hlcdb11,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:21,hstm_bi_hlcdb11,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:21,hstm_bi_hlcdb11,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:31,hstm_bi_hlcdb11,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:17,hstm_bi_hlcdb10,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:17,hstm_bi_hlcdb10,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:17,hstm_bi_hlcdb10,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:17,hstm_bi_hlcdb10,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:32,hstm_bi_hlcdb10,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
